,word,meaning,source
495,electronic,,https://api.dictionaryapi.dev/api/v2/entries/en/electronic
496,element,,https://api.dictionaryapi.dev/api/v2/entries/en/element
497,else,,https://api.dictionaryapi.dev/api/v2/entries/en/else
498,elsewhere,,https://api.dictionaryapi.dev/api/v2/entries/en/elsewhere
499,embrace,,https://api.dictionaryapi.dev/api/v2/entries/en/embrace
500,emerge,,https://api.dictionaryapi.dev/api/v2/entries/en/emerge
501,emotion,,https://api.dictionaryapi.dev/api/v2/entries/en/emotion
502,emotional,,https://api.dictionaryapi.dev/api/v2/entries/en/emotional
503,employ,,https://api.dictionaryapi.dev/api/v2/entries/en/employ
504,employee,,https://api.dictionaryapi.dev/api/v2/entries/en/employee
505,employer,,https://api.dictionaryapi.dev/api/v2/entries/en/employer
506,employment,,https://api.dictionaryapi.dev/api/v2/entries/en/employment
507,empty,,https://api.dictionaryapi.dev/api/v2/entries/en/empty
508,enable,,https://api.dictionaryapi.dev/api/v2/entries/en/enable
509,encounter,,https://api.dictionaryapi.dev/api/v2/entries/en/encounter
510,encourage,,https://api.dictionaryapi.dev/api/v2/entries/en/encourage
511,end,,https://api.dictionaryapi.dev/api/v2/entries/en/end
512,enemy,,https://api.dictionaryapi.dev/api/v2/entries/en/enemy
513,energy,,https://api.dictionaryapi.dev/api/v2/entries/en/energy
514,engine,,https://api.dictionaryapi.dev/api/v2/entries/en/engine
515,engineer,,https://api.dictionaryapi.dev/api/v2/entries/en/engineer
516,engineering,,https://api.dictionaryapi.dev/api/v2/entries/en/engineering
517,enjoy,,https://api.dictionaryapi.dev/api/v2/entries/en/enjoy
518,enormous,,https://api.dictionaryapi.dev/api/v2/entries/en/enormous
519,enough,,https://api.dictionaryapi.dev/api/v2/entries/en/enough
520,ensure,,https://api.dictionaryapi.dev/api/v2/entries/en/ensure
521,enter,,https://api.dictionaryapi.dev/api/v2/entries/en/enter
522,enterprise,,https://api.dictionaryapi.dev/api/v2/entries/en/enterprise
523,entire,,https://api.dictionaryapi.dev/api/v2/entries/en/entire
524,entirely,,https://api.dictionaryapi.dev/api/v2/entries/en/entirely
525,environment,,https://api.dictionaryapi.dev/api/v2/entries/en/environment
526,environmental,,https://api.dictionaryapi.dev/api/v2/entries/en/environmental
527,equal,,https://api.dictionaryapi.dev/api/v2/entries/en/equal
528,equipment,,https://api.dictionaryapi.dev/api/v2/entries/en/equipment
529,equivalent,,https://api.dictionaryapi.dev/api/v2/entries/en/equivalent
530,error,,https://api.dictionaryapi.dev/api/v2/entries/en/error
531,escape,,https://api.dictionaryapi.dev/api/v2/entries/en/escape
532,especially,,https://api.dictionaryapi.dev/api/v2/entries/en/especially
533,essential,,https://api.dictionaryapi.dev/api/v2/entries/en/essential
534,establish,,https://api.dictionaryapi.dev/api/v2/entries/en/establish
535,estate,,https://api.dictionaryapi.dev/api/v2/entries/en/estate
536,even,,https://api.dictionaryapi.dev/api/v2/entries/en/even
537,evening,,https://api.dictionaryapi.dev/api/v2/entries/en/evening
538,event,,https://api.dictionaryapi.dev/api/v2/entries/en/event
539,eventually,,https://api.dictionaryapi.dev/api/v2/entries/en/eventually
540,ever,,https://api.dictionaryapi.dev/api/v2/entries/en/ever
541,every,,https://api.dictionaryapi.dev/api/v2/entries/en/every
542,everyone,,https://api.dictionaryapi.dev/api/v2/entries/en/everyone
543,everything,,https://api.dictionaryapi.dev/api/v2/entries/en/everything
544,evidence,,https://api.dictionaryapi.dev/api/v2/entries/en/evidence
545,exactly,,https://api.dictionaryapi.dev/api/v2/entries/en/exactly
546,examination,,https://api.dictionaryapi.dev/api/v2/entries/en/examination
547,examine,,https://api.dictionaryapi.dev/api/v2/entries/en/examine
548,example,,https://api.dictionaryapi.dev/api/v2/entries/en/example
549,exceed,,https://api.dictionaryapi.dev/api/v2/entries/en/exceed
550,excellent,,https://api.dictionaryapi.dev/api/v2/entries/en/excellent
551,except,,https://api.dictionaryapi.dev/api/v2/entries/en/except
552,exchange,,https://api.dictionaryapi.dev/api/v2/entries/en/exchange
553,exciting,,https://api.dictionaryapi.dev/api/v2/entries/en/exciting
554,exclude,,https://api.dictionaryapi.dev/api/v2/entries/en/exclude
555,execute,,https://api.dictionaryapi.dev/api/v2/entries/en/execute
556,executive,,https://api.dictionaryapi.dev/api/v2/entries/en/executive
557,exercise,,https://api.dictionaryapi.dev/api/v2/entries/en/exercise
558,exist,,https://api.dictionaryapi.dev/api/v2/entries/en/exist
559,existence,,https://api.dictionaryapi.dev/api/v2/entries/en/existence
560,expand,,https://api.dictionaryapi.dev/api/v2/entries/en/expand
561,expect,,https://api.dictionaryapi.dev/api/v2/entries/en/expect
562,expense,,https://api.dictionaryapi.dev/api/v2/entries/en/expense
563,experience,,https://api.dictionaryapi.dev/api/v2/entries/en/experience
564,experiment,,https://api.dictionaryapi.dev/api/v2/entries/en/experiment
565,expert,,https://api.dictionaryapi.dev/api/v2/entries/en/expert
566,explain,,https://api.dictionaryapi.dev/api/v2/entries/en/explain
567,explode,,https://api.dictionaryapi.dev/api/v2/entries/en/explode
568,explore,,https://api.dictionaryapi.dev/api/v2/entries/en/explore
569,export,,https://api.dictionaryapi.dev/api/v2/entries/en/export
570,expose,,https://api.dictionaryapi.dev/api/v2/entries/en/expose
571,express,,https://api.dictionaryapi.dev/api/v2/entries/en/express
572,extend,,https://api.dictionaryapi.dev/api/v2/entries/en/extend
573,extensive,,https://api.dictionaryapi.dev/api/v2/entries/en/extensive
574,extent,,https://api.dictionaryapi.dev/api/v2/entries/en/extent
575,external,,https://api.dictionaryapi.dev/api/v2/entries/en/external
576,extra,"('Something additional, such as an item above and beyond the ordinary school curriculum, or added to the usual charge on a bill.',)",https://api.dictionaryapi.dev/api/v2/entries/en/extra
577,extraordinary,,https://api.dictionaryapi.dev/api/v2/entries/en/extraordinary
578,extreme,,https://api.dictionaryapi.dev/api/v2/entries/en/extreme
579,eye,,https://api.dictionaryapi.dev/api/v2/entries/en/eye
580,face,"('The front part of the head of a human or other animal, featuring the eyes, nose and mouth, and the surrounding area.',)",https://api.dictionaryapi.dev/api/v2/entries/en/face
581,facility,,https://api.dictionaryapi.dev/api/v2/entries/en/facility
582,fact,,https://api.dictionaryapi.dev/api/v2/entries/en/fact
583,factor,"('A doer, maker; a person who does things for another person or organization.',)",https://api.dictionaryapi.dev/api/v2/entries/en/factor
584,factory,"('A trading establishment, especially set up by merchants working in a foreign country.',)",https://api.dictionaryapi.dev/api/v2/entries/en/factory
585,fail,"('Poor quality; substandard workmanship.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fail
586,failure,,https://api.dictionaryapi.dev/api/v2/entries/en/failure
587,fair,"('Something which is fair (in various senses of the adjective).',)",https://api.dictionaryapi.dev/api/v2/entries/en/fair
588,fairly,,https://api.dictionaryapi.dev/api/v2/entries/en/fairly
589,fall,"('The act of moving to a lower position under the effect of gravity.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fall
590,false,"('One of two options on a true-or-false test.',)",https://api.dictionaryapi.dev/api/v2/entries/en/false
591,family,,https://api.dictionaryapi.dev/api/v2/entries/en/family
592,famous,,https://api.dictionaryapi.dev/api/v2/entries/en/famous
593,far,"('Distant; remote in space.',)",https://api.dictionaryapi.dev/api/v2/entries/en/far
594,farm,"('A place where agricultural and similar activities take place, especially the growing of crops or the raising of livestock.',)",https://api.dictionaryapi.dev/api/v2/entries/en/farm
595,farmer,"('A person who works the land and/or who keeps livestock, especially on a farm.',)",https://api.dictionaryapi.dev/api/v2/entries/en/farmer
596,fast,,https://api.dictionaryapi.dev/api/v2/entries/en/fast
597,father,"('A (generally human) male who begets a child.',)",https://api.dictionaryapi.dev/api/v2/entries/en/father
598,favor,,https://api.dictionaryapi.dev/api/v2/entries/en/favor
599,favorite,"('A person or thing who enjoys special regard or favour.',)",https://api.dictionaryapi.dev/api/v2/entries/en/favorite
600,fear,,https://api.dictionaryapi.dev/api/v2/entries/en/fear
601,federal,"('A law-enforcement official of the FBI; a federal agent.',)",https://api.dictionaryapi.dev/api/v2/entries/en/federal
602,feel,"('A quality of an object experienced by touch.',)",https://api.dictionaryapi.dev/api/v2/entries/en/feel
603,feeling,"('(heading) To use or experience the sense of touch.',)",https://api.dictionaryapi.dev/api/v2/entries/en/feeling
604,female,"('One of the female (feminine) sex or gender.',)",https://api.dictionaryapi.dev/api/v2/entries/en/female
605,few,,https://api.dictionaryapi.dev/api/v2/entries/en/few
606,field,,https://api.dictionaryapi.dev/api/v2/entries/en/field
607,fight,"('To contend in physical conflict, either singly or in war, battle etc.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fight
608,figure,"('A drawing or diagram conveying information.',)",https://api.dictionaryapi.dev/api/v2/entries/en/figure
609,file,"('A collection of papers collated and archived together.',)",https://api.dictionaryapi.dev/api/v2/entries/en/file
610,fill,"('To occupy fully, to take up all of.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fill
611,film,"('A thin layer of some substance; a pellicle; a membranous covering, causing opacity.',)",https://api.dictionaryapi.dev/api/v2/entries/en/film
612,final,,https://api.dictionaryapi.dev/api/v2/entries/en/final
613,finally,"('At the end or conclusion; ultimately.',)",https://api.dictionaryapi.dev/api/v2/entries/en/finally
614,financial,"('Related to finances.',)",https://api.dictionaryapi.dev/api/v2/entries/en/financial
615,find,"('Anything that is found (usually valuable), as objects on an archeological site or a person with talent.',)",https://api.dictionaryapi.dev/api/v2/entries/en/find
616,fine,"('Fine champagne; French brandy.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fine
617,finger,"('A slender jointed extremity of the human hand, exclusive of the thumb.',)",https://api.dictionaryapi.dev/api/v2/entries/en/finger
618,finish,"('An end; the end of anything.',)",https://api.dictionaryapi.dev/api/v2/entries/en/finish
619,fire,"('A (usually self-sustaining) chemical reaction involving the bonding of oxygen with carbon or other fuel, with the production of heat and the presence of flame or smouldering.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fire
620,firm,"('A business partnership; the name under which it trades.',)",https://api.dictionaryapi.dev/api/v2/entries/en/firm
621,first,,https://api.dictionaryapi.dev/api/v2/entries/en/first
622,fish,"('A cold-blooded vertebrate animal that lives in water, moving with the help of fins and breathing with gills.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fish
623,fit,"('The degree to which something fits.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fit
624,fix,,https://api.dictionaryapi.dev/api/v2/entries/en/fix
625,flat,"('An area of level ground.',)",https://api.dictionaryapi.dev/api/v2/entries/en/flat
626,floor,,https://api.dictionaryapi.dev/api/v2/entries/en/floor
627,flow,"('A movement in people or things with a particular way in large numbers or amounts',)",https://api.dictionaryapi.dev/api/v2/entries/en/flow
628,flower,"('A colorful, conspicuous structure associated with angiosperms, frequently scented and attracting various insects, and which may or may not be used for sexual reproduction.',)",https://api.dictionaryapi.dev/api/v2/entries/en/flower
629,fly,,https://api.dictionaryapi.dev/api/v2/entries/en/fly
630,focus,"('A point at which reflected or refracted rays of light converge.',)",https://api.dictionaryapi.dev/api/v2/entries/en/focus
631,fold,,https://api.dictionaryapi.dev/api/v2/entries/en/fold
632,follow,"('(sometimes attributive) In billiards and similar games, a stroke causing a ball to follow another ball after hitting it.',)",https://api.dictionaryapi.dev/api/v2/entries/en/follow
633,following,"('To go after; to pursue; to move behind in the same path or direction.',)",https://api.dictionaryapi.dev/api/v2/entries/en/following
634,food,"('Any solid substance that can be consumed by living organisms, especially by eating, in order to sustain life.',)",https://api.dictionaryapi.dev/api/v2/entries/en/food
635,foot,,https://api.dictionaryapi.dev/api/v2/entries/en/foot
636,football,,https://api.dictionaryapi.dev/api/v2/entries/en/football
637,for,,https://api.dictionaryapi.dev/api/v2/entries/en/for
638,force,,https://api.dictionaryapi.dev/api/v2/entries/en/force
639,foreign,"('A foreign person, particularly:',)",https://api.dictionaryapi.dev/api/v2/entries/en/foreign
640,forest,"('A dense uncultivated tract of trees and undergrowth, larger than woods.',)",https://api.dictionaryapi.dev/api/v2/entries/en/forest
641,forever,"('An extremely long time.',)",https://api.dictionaryapi.dev/api/v2/entries/en/forever
642,forget,"('To lose remembrance of.',)",https://api.dictionaryapi.dev/api/v2/entries/en/forget
643,form,"('(heading, physical) To do with shape.',)",https://api.dictionaryapi.dev/api/v2/entries/en/form
644,formal,"('Formalin.',)",https://api.dictionaryapi.dev/api/v2/entries/en/formal
645,former,"('Previous.',)",https://api.dictionaryapi.dev/api/v2/entries/en/former
646,fortune,"('Destiny, especially favorable.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fortune
647,forward,"('One of the eight players (comprising two props, one hooker, two locks, two flankers and one number eight, collectively known as the pack) whose primary task is to gain and maintain possession of the ball (compare back).',)",https://api.dictionaryapi.dev/api/v2/entries/en/forward
648,found,"('To encounter or discover by accident; to happen upon.',)",https://api.dictionaryapi.dev/api/v2/entries/en/found
649,foundation,"('The act of founding, fixing, establishing, or beginning to erect.',)",https://api.dictionaryapi.dev/api/v2/entries/en/foundation
650,freedom,"('The state of being free, of not being imprisoned or enslaved.',)",https://api.dictionaryapi.dev/api/v2/entries/en/freedom
651,free,"('Free transfer',)",https://api.dictionaryapi.dev/api/v2/entries/en/free
652,fresh,"('A rush of water, along a river or onto the land; a flood.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fresh
653,friend,"('A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.',)",https://api.dictionaryapi.dev/api/v2/entries/en/friend
654,friendship,"('The condition of being friends.',)",https://api.dictionaryapi.dev/api/v2/entries/en/friendship
655,from,"('Used to indicate source or provenance.',)",https://api.dictionaryapi.dev/api/v2/entries/en/from
656,front,"('The foremost side of something or the end that faces the direction it normally moves.',)",https://api.dictionaryapi.dev/api/v2/entries/en/front
657,fruit,"('(often in the plural) In general, a product of plant growth useful to man or animals.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fruit
658,fuel,"('Substance consumed to provide energy through combustion, or through chemical or nuclear reaction.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fuel
659,full,"('Containing the maximum possible amount that can fit in the space available.',)",https://api.dictionaryapi.dev/api/v2/entries/en/full
660,fully,"('In a full manner; without lack or defect.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fully
661,fun,"('Amusement, enjoyment or pleasure',)",https://api.dictionaryapi.dev/api/v2/entries/en/fun
662,function,"('What something does or is used for.',)",https://api.dictionaryapi.dev/api/v2/entries/en/function
663,fund,"('A sum or source of money.',)",https://api.dictionaryapi.dev/api/v2/entries/en/fund
664,fundamental,"('(usually in the plural) A leading or primary principle, rule, law, or article, which serves as the groundwork of a system; an essential part',)",https://api.dictionaryapi.dev/api/v2/entries/en/fundamental
665,funny,"('A joke.',)",https://api.dictionaryapi.dev/api/v2/entries/en/funny
666,furniture,"(""Large movable item(s), usually in a room, which enhance(s) the room's characteristics, functionally or decoratively."",)",https://api.dictionaryapi.dev/api/v2/entries/en/furniture
667,further,"('To help forward; to assist.',)",https://api.dictionaryapi.dev/api/v2/entries/en/further
668,future,"('The time ahead; those moments yet to be experienced.',)",https://api.dictionaryapi.dev/api/v2/entries/en/future
669,gain,"('The act of gaining; acquisition.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gain
670,game,"('A playful or competitive activity.',)",https://api.dictionaryapi.dev/api/v2/entries/en/game
671,gap,"('An opening in anything made by breaking or parting.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gap
672,garage,"('A building (or section of a building) used to store a car or cars, tools and other miscellaneous items.',)",https://api.dictionaryapi.dev/api/v2/entries/en/garage
673,garden,"('An outdoor area containing one or more types of plants, usually plants grown for food or ornamental purposes.',)",https://api.dictionaryapi.dev/api/v2/entries/en/garden
674,gas,"('Matter in a state intermediate between liquid and plasma that can be contained only if it is fully surrounded by a solid (or in a bubble of liquid) (or held together by gravitational pull); it can condense into a liquid, or can (rarely) become a solid directly.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gas
675,gate,"('A doorlike structure outside a house.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gate
676,gather,"('A plait or fold in cloth, made by drawing a thread through it; a pucker.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gather
677,gay,"('(chiefly in plural or attributive) A homosexual, especially a male homosexual; see also lesbian.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gay
678,gear,"('Equipment or paraphernalia, especially that used for an athletic endeavor.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gear
679,gender,,https://api.dictionaryapi.dev/api/v2/entries/en/gender
680,general,"('A general fact or proposition; a generality.',)",https://api.dictionaryapi.dev/api/v2/entries/en/general
681,generally,"('Popularly or widely.',)",https://api.dictionaryapi.dev/api/v2/entries/en/generally
682,generate,"('To bring into being; give rise to.',)",https://api.dictionaryapi.dev/api/v2/entries/en/generate
683,generation,"('The fact of creating something, or bringing something into being; production, creation.',)",https://api.dictionaryapi.dev/api/v2/entries/en/generation
684,gentleman,,https://api.dictionaryapi.dev/api/v2/entries/en/gentleman
685,get,,https://api.dictionaryapi.dev/api/v2/entries/en/get
686,gift,,https://api.dictionaryapi.dev/api/v2/entries/en/gift
687,girl,,https://api.dictionaryapi.dev/api/v2/entries/en/girl
688,give,"('The amount of bending that something undergoes when a force is applied to it; a tendency to yield under pressure; resilence.',)",https://api.dictionaryapi.dev/api/v2/entries/en/give
689,glad,"('To make glad',)",https://api.dictionaryapi.dev/api/v2/entries/en/glad
690,glass,"('To apply fibreglass to.',)",https://api.dictionaryapi.dev/api/v2/entries/en/glass
691,go,,https://api.dictionaryapi.dev/api/v2/entries/en/go
692,goal,"('A result that one is attempting to achieve.',)",https://api.dictionaryapi.dev/api/v2/entries/en/goal
693,god,"('A being such as a monotheistic God: a single divine creator and ruler of the universe.',)",https://api.dictionaryapi.dev/api/v2/entries/en/god
694,gold,"('A heavy yellow elemental metal of great value, with atomic number 79 and symbol Au.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gold
695,golden,"('Kyphosus vaigiensis, a fish found in southeast Asia.',)",https://api.dictionaryapi.dev/api/v2/entries/en/golden
696,good,"('(of people)',)",https://api.dictionaryapi.dev/api/v2/entries/en/good
697,govern,"('The act of governing',)",https://api.dictionaryapi.dev/api/v2/entries/en/govern
698,government,"('The body with the power to make and/or enforce laws to control a country, land area, people or organization.',)",https://api.dictionaryapi.dev/api/v2/entries/en/government
699,governor,"('The chief executive officer of a first-level division of a country.',)",https://api.dictionaryapi.dev/api/v2/entries/en/governor
700,grab,,https://api.dictionaryapi.dev/api/v2/entries/en/grab
701,grade,,https://api.dictionaryapi.dev/api/v2/entries/en/grade
702,graduate,"('A person who is recognized by a university as having completed the requirements of a degree studied at the institution.',)",https://api.dictionaryapi.dev/api/v2/entries/en/graduate
703,grain,"('The harvested seeds of various grass food crops eg: wheat, corn, barley.',)",https://api.dictionaryapi.dev/api/v2/entries/en/grain
704,grand,,https://api.dictionaryapi.dev/api/v2/entries/en/grand
705,grant,,https://api.dictionaryapi.dev/api/v2/entries/en/grant
706,grass,,https://api.dictionaryapi.dev/api/v2/entries/en/grass
707,gray,"('An achromatic colour intermediate between black and white.',)",https://api.dictionaryapi.dev/api/v2/entries/en/gray
708,great,,https://api.dictionaryapi.dev/api/v2/entries/en/great
709,greatly,,https://api.dictionaryapi.dev/api/v2/entries/en/greatly
710,green,,https://api.dictionaryapi.dev/api/v2/entries/en/green
711,grin,"('A smile in which the lips are parted to reveal the teeth.',)",https://api.dictionaryapi.dev/api/v2/entries/en/grin
712,ground,,https://api.dictionaryapi.dev/api/v2/entries/en/ground
713,group,,https://api.dictionaryapi.dev/api/v2/entries/en/group
714,grow,,https://api.dictionaryapi.dev/api/v2/entries/en/grow
715,growth,,https://api.dictionaryapi.dev/api/v2/entries/en/growth
716,guarantee,,https://api.dictionaryapi.dev/api/v2/entries/en/guarantee
717,guard,,https://api.dictionaryapi.dev/api/v2/entries/en/guard
718,guess,,https://api.dictionaryapi.dev/api/v2/entries/en/guess
719,guest,"('A recipient of hospitality, specifically someone staying by invitation at the house of another.',)",https://api.dictionaryapi.dev/api/v2/entries/en/guest
720,guide,"('Someone who guides, especially someone hired to show people around a place or an institution and offer information and explanation.',)",https://api.dictionaryapi.dev/api/v2/entries/en/guide
721,guilty,,https://api.dictionaryapi.dev/api/v2/entries/en/guilty
722,gun,,https://api.dictionaryapi.dev/api/v2/entries/en/gun
723,guy,,https://api.dictionaryapi.dev/api/v2/entries/en/guy
724,hair,"('A pigmented filament of keratin which grows from a follicle on the skin of humans and other mammals.',)",https://api.dictionaryapi.dev/api/v2/entries/en/hair
725,half,,https://api.dictionaryapi.dev/api/v2/entries/en/half
726,hall,"('A corridor; a hallway.',)",https://api.dictionaryapi.dev/api/v2/entries/en/hall
727,hand,,https://api.dictionaryapi.dev/api/v2/entries/en/hand
728,handle,,https://api.dictionaryapi.dev/api/v2/entries/en/handle
729,hang,"('The way in which something hangs.',)",https://api.dictionaryapi.dev/api/v2/entries/en/hang
730,happen,,https://api.dictionaryapi.dev/api/v2/entries/en/happen
731,happy,,https://api.dictionaryapi.dev/api/v2/entries/en/happy
732,hard,,https://api.dictionaryapi.dev/api/v2/entries/en/hard
733,hardly,,https://api.dictionaryapi.dev/api/v2/entries/en/hardly
734,harm,"('Physical injury; hurt; damage',)",https://api.dictionaryapi.dev/api/v2/entries/en/harm
735,hat,,https://api.dictionaryapi.dev/api/v2/entries/en/hat
736,hate,,https://api.dictionaryapi.dev/api/v2/entries/en/hate
737,have,,https://api.dictionaryapi.dev/api/v2/entries/en/have
738,he,"('The game of tag, or it, in which the player attempting to catch the others is called ""he"".',)",https://api.dictionaryapi.dev/api/v2/entries/en/he
739,head,,https://api.dictionaryapi.dev/api/v2/entries/en/head
740,health,,https://api.dictionaryapi.dev/api/v2/entries/en/health
741,healthy,"('Enjoying health and vigor of body, mind, or spirit: well.',)",https://api.dictionaryapi.dev/api/v2/entries/en/healthy
742,hear,,https://api.dictionaryapi.dev/api/v2/entries/en/hear
743,hearing,,https://api.dictionaryapi.dev/api/v2/entries/en/hearing
744,heart,,https://api.dictionaryapi.dev/api/v2/entries/en/heart
745,heat,,https://api.dictionaryapi.dev/api/v2/entries/en/heat
746,heavy,,https://api.dictionaryapi.dev/api/v2/entries/en/heavy
747,help,,https://api.dictionaryapi.dev/api/v2/entries/en/help
748,her,,https://api.dictionaryapi.dev/api/v2/entries/en/her
749,here,,https://api.dictionaryapi.dev/api/v2/entries/en/here
750,herself,,https://api.dictionaryapi.dev/api/v2/entries/en/herself
751,high,,https://api.dictionaryapi.dev/api/v2/entries/en/high
752,higher,"('Very elevated; extending or being far above a base; tall; lofty.',)",https://api.dictionaryapi.dev/api/v2/entries/en/higher
753,highly,,https://api.dictionaryapi.dev/api/v2/entries/en/highly
754,highway,,https://api.dictionaryapi.dev/api/v2/entries/en/highway
755,hill,,https://api.dictionaryapi.dev/api/v2/entries/en/hill
756,him,,https://api.dictionaryapi.dev/api/v2/entries/en/him
757,himself,,https://api.dictionaryapi.dev/api/v2/entries/en/himself
758,his,,https://api.dictionaryapi.dev/api/v2/entries/en/his
759,historical,,https://api.dictionaryapi.dev/api/v2/entries/en/historical
760,history,,https://api.dictionaryapi.dev/api/v2/entries/en/history
761,hit,,https://api.dictionaryapi.dev/api/v2/entries/en/hit
762,hold,,https://api.dictionaryapi.dev/api/v2/entries/en/hold
763,hole,,https://api.dictionaryapi.dev/api/v2/entries/en/hole
764,holy,,https://api.dictionaryapi.dev/api/v2/entries/en/holy
765,home,,https://api.dictionaryapi.dev/api/v2/entries/en/home
766,honest,,https://api.dictionaryapi.dev/api/v2/entries/en/honest
767,hope,,https://api.dictionaryapi.dev/api/v2/entries/en/hope
768,horrible,,https://api.dictionaryapi.dev/api/v2/entries/en/horrible
769,horse,,https://api.dictionaryapi.dev/api/v2/entries/en/horse
770,hospital,,https://api.dictionaryapi.dev/api/v2/entries/en/hospital
771,hot,,https://api.dictionaryapi.dev/api/v2/entries/en/hot
772,hotel,,https://api.dictionaryapi.dev/api/v2/entries/en/hotel
773,hour,,https://api.dictionaryapi.dev/api/v2/entries/en/hour
774,house,,https://api.dictionaryapi.dev/api/v2/entries/en/house
775,housing,,https://api.dictionaryapi.dev/api/v2/entries/en/housing
776,how,,https://api.dictionaryapi.dev/api/v2/entries/en/how
777,however,,https://api.dictionaryapi.dev/api/v2/entries/en/however
778,huge,,https://api.dictionaryapi.dev/api/v2/entries/en/huge
779,human,,https://api.dictionaryapi.dev/api/v2/entries/en/human
780,humor,,https://api.dictionaryapi.dev/api/v2/entries/en/humor
781,hundred,,https://api.dictionaryapi.dev/api/v2/entries/en/hundred
782,hungry,,https://api.dictionaryapi.dev/api/v2/entries/en/hungry
783,hunt,,https://api.dictionaryapi.dev/api/v2/entries/en/hunt
784,hurry,,https://api.dictionaryapi.dev/api/v2/entries/en/hurry
785,hurt,,https://api.dictionaryapi.dev/api/v2/entries/en/hurt
786,husband,,https://api.dictionaryapi.dev/api/v2/entries/en/husband
787,I,,https://api.dictionaryapi.dev/api/v2/entries/en/I
788,ice,,https://api.dictionaryapi.dev/api/v2/entries/en/ice
789,idea,,https://api.dictionaryapi.dev/api/v2/entries/en/idea
790,identify,,https://api.dictionaryapi.dev/api/v2/entries/en/identify
791,if,,https://api.dictionaryapi.dev/api/v2/entries/en/if
792,ignore,,https://api.dictionaryapi.dev/api/v2/entries/en/ignore
793,image,,https://api.dictionaryapi.dev/api/v2/entries/en/image
794,imagine,,https://api.dictionaryapi.dev/api/v2/entries/en/imagine
795,immediate,,https://api.dictionaryapi.dev/api/v2/entries/en/immediate
796,impact,,https://api.dictionaryapi.dev/api/v2/entries/en/impact
797,impose,,https://api.dictionaryapi.dev/api/v2/entries/en/impose
798,important,,https://api.dictionaryapi.dev/api/v2/entries/en/important
799,impossible,,https://api.dictionaryapi.dev/api/v2/entries/en/impossible
800,impress,,https://api.dictionaryapi.dev/api/v2/entries/en/impress
801,impression,,https://api.dictionaryapi.dev/api/v2/entries/en/impression
802,improve,,https://api.dictionaryapi.dev/api/v2/entries/en/improve
803,in,,https://api.dictionaryapi.dev/api/v2/entries/en/in
804,include,,https://api.dictionaryapi.dev/api/v2/entries/en/include
805,income,,https://api.dictionaryapi.dev/api/v2/entries/en/income
806,increase,,https://api.dictionaryapi.dev/api/v2/entries/en/increase
807,increasingly,,https://api.dictionaryapi.dev/api/v2/entries/en/increasingly
808,indeed,,https://api.dictionaryapi.dev/api/v2/entries/en/indeed
809,indicate,,https://api.dictionaryapi.dev/api/v2/entries/en/indicate
810,individual,,https://api.dictionaryapi.dev/api/v2/entries/en/individual
811,industrial,,https://api.dictionaryapi.dev/api/v2/entries/en/industrial
812,industry,,https://api.dictionaryapi.dev/api/v2/entries/en/industry
813,inevitable,,https://api.dictionaryapi.dev/api/v2/entries/en/inevitable
814,influence,,https://api.dictionaryapi.dev/api/v2/entries/en/influence
815,information,,https://api.dictionaryapi.dev/api/v2/entries/en/information
816,initial,,https://api.dictionaryapi.dev/api/v2/entries/en/initial
817,initiative,,https://api.dictionaryapi.dev/api/v2/entries/en/initiative
818,injure,,https://api.dictionaryapi.dev/api/v2/entries/en/injure
819,injury,,https://api.dictionaryapi.dev/api/v2/entries/en/injury
820,inner,,https://api.dictionaryapi.dev/api/v2/entries/en/inner
821,innocent,,https://api.dictionaryapi.dev/api/v2/entries/en/innocent
822,insist,,https://api.dictionaryapi.dev/api/v2/entries/en/insist
823,inspect,,https://api.dictionaryapi.dev/api/v2/entries/en/inspect
824,install,,https://api.dictionaryapi.dev/api/v2/entries/en/install
825,instance,,https://api.dictionaryapi.dev/api/v2/entries/en/instance
826,instead,,https://api.dictionaryapi.dev/api/v2/entries/en/instead
827,institution,,https://api.dictionaryapi.dev/api/v2/entries/en/institution
